type, setup, encryption, homomorphic, decryption, plaintext, total, value
sum-squares-slot, 300, 12, 161, 1, 0, 474, 0.666626
sum-squares-slot, 301, 12, 171, 2, 0, 486, 0.666626
sum-squares-slot, 293, 12, 158, 1, 0, 464, 0.666626
sum-squares-slot, 299, 12, 162, 1, 0, 474, 0.666626
sum-squares-slot, 289, 12, 159, 1, 0, 461, 0.666626
sum-squares-slot, 302, 12, 165, 1, 0, 480, 0.666626
sum-squares-slot, 299, 12, 172, 1, 0, 484, 0.666626
sum-squares-slot, 293, 12, 161, 1, 0, 467, 0.666626
sum-squares-slot, 300, 12, 165, 1, 0, 478, 0.666626
sum-squares-slot, 300, 12, 164, 1, 0, 477, 0.666626
sum-squares-slot, 302, 12, 164, 1, 0, 479, 0.666626
sum-squares-slot, 296, 12, 161, 1, 0, 470, 0.666626
sum-squares-slot, 298, 12, 162, 1, 0, 473, 0.666626
sum-squares-slot, 297, 12, 159, 1, 0, 469, 0.666626
sum-squares-slot, 310, 12, 165, 1, 0, 488, 0.666626
sum-squares-slot, 297, 12, 164, 1, 0, 474, 0.666626
sum-squares-slot, 296, 12, 163, 1, 0, 472, 0.666626
sum-squares-slot, 303, 12, 165, 1, 0, 481, 0.666626
sum-squares-slot, 292, 16, 161, 1, 0, 470, 0.666626
sum-squares-slot, 299, 12, 166, 1, 0, 478, 0.666626
sum-squares-slot, 297, 12, 160, 1, 0, 470, 0.666626
sum-squares-slot, 295, 12, 165, 1, 0, 473, 0.666626
sum-squares-slot, 301, 12, 170, 1, 0, 484, 0.666626
sum-squares-slot, 307, 12, 163, 1, 0, 483, 0.666626
sum-squares-slot, 309, 12, 161, 1, 0, 483, 0.666626
sum-squares-slot, 292, 12, 161, 1, 0, 466, 0.666626
sum-squares-slot, 308, 12, 170, 1, 0, 491, 0.666626
sum-squares-slot, 311, 12, 162, 1, 0, 486, 0.666626
sum-squares-slot, 301, 12, 161, 1, 0, 475, 0.666626
sum-squares-slot, 301, 12, 162, 1, 0, 476, 0.666626
sum-squares-slot, 302, 12, 163, 1, 0, 478, 0.666626
sum-squares-slot, 293, 12, 160, 1, 0, 466, 0.666626
sum-squares-slot, 301, 12, 168, 1, 0, 482, 0.666626
sum-squares-slot, 298, 12, 166, 1, 0, 477, 0.666626
sum-squares-slot, 311, 12, 167, 1, 0, 491, 0.666626
sum-squares-slot, 305, 12, 160, 1, 0, 478, 0.666626
sum-squares-slot, 300, 12, 158, 1, 0, 471, 0.666626
sum-squares-slot, 308, 12, 165, 1, 0, 486, 0.666626
sum-squares-slot, 297, 12, 162, 1, 0, 472, 0.666626
sum-squares-slot, 306, 12, 163, 1, 0, 482, 0.666626
sum-squares-slot, 305, 12, 165, 1, 0, 483, 0.666626
sum-squares-slot, 303, 12, 162, 1, 0, 478, 0.666626
sum-squares-slot, 306, 13, 166, 1, 0, 486, 0.666626
sum-squares-slot, 324, 15, 164, 1, 0, 504, 0.666626
sum-squares-slot, 292, 12, 163, 1, 0, 468, 0.666626
sum-squares-slot, 304, 12, 169, 1, 0, 486, 0.666626
sum-squares-slot, 297, 11, 160, 1, 0, 469, 0.666626
sum-squares-slot, 295, 16, 165, 1, 0, 477, 0.666626
sum-squares-slot, 307, 12, 169, 1, 0, 489, 0.666626
sum-squares-slot, 310, 12, 170, 1, 0, 493, 0.666626
sum-squares-slot, 297, 12, 167, 1, 0, 477, 0.666626
sum-squares-slot, 310, 16, 168, 1, 0, 495, 0.666626
sum-squares-slot, 296, 12, 161, 1, 0, 470, 0.666626
sum-squares-slot, 291, 12, 164, 1, 0, 468, 0.666626
sum-squares-slot, 299, 12, 168, 1, 0, 480, 0.666626
sum-squares-slot, 294, 12, 176, 1, 0, 483, 0.666626
sum-squares-slot, 295, 12, 164, 1, 0, 472, 0.666626
sum-squares-slot, 310, 12, 165, 1, 0, 488, 0.666626
sum-squares-slot, 294, 12, 166, 1, 0, 473, 0.666626
sum-squares-slot, 302, 12, 165, 1, 0, 480, 0.666626
sum-squares-slot, 295, 12, 162, 1, 0, 470, 0.666626
sum-squares-slot, 296, 12, 162, 1, 0, 471, 0.666626
sum-squares-slot, 295, 12, 165, 1, 0, 473, 0.666626
sum-squares-slot, 302, 13, 166, 1, 0, 482, 0.666626
sum-squares-slot, 307, 12, 163, 1, 0, 483, 0.666626
sum-squares-slot, 297, 12, 165, 1, 0, 475, 0.666626
sum-squares-slot, 295, 12, 162, 1, 0, 470, 0.666626
sum-squares-slot, 297, 12, 163, 1, 0, 473, 0.666626
sum-squares-slot, 302, 12, 158, 1, 0, 473, 0.666626
sum-squares-slot, 307, 12, 163, 1, 0, 483, 0.666626
sum-squares-slot, 299, 12, 160, 1, 0, 472, 0.666626
sum-squares-slot, 293, 12, 160, 1, 0, 466, 0.666626
sum-squares-slot, 317, 12, 164, 1, 0, 494, 0.666626
sum-squares-slot, 295, 12, 161, 1, 0, 469, 0.666626
sum-squares-slot, 301, 12, 166, 1, 0, 480, 0.666626
sum-squares-slot, 299, 12, 158, 1, 0, 470, 0.666626
sum-squares-slot, 295, 12, 172, 1, 0, 480, 0.666626
sum-squares-slot, 300, 12, 161, 1, 0, 474, 0.666626
sum-squares-slot, 299, 12, 164, 1, 0, 476, 0.666626
sum-squares-slot, 303, 12, 159, 1, 0, 475, 0.666626
sum-squares-slot, 306, 12, 175, 1, 0, 494, 0.666626
sum-squares-slot, 306, 12, 167, 1, 0, 486, 0.666626
sum-squares-slot, 303, 12, 163, 1, 0, 479, 0.666626
sum-squares-slot, 297, 11, 160, 1, 0, 469, 0.666626
sum-squares-slot, 294, 12, 160, 1, 0, 467, 0.666626
sum-squares-slot, 299, 12, 161, 1, 0, 473, 0.666626
sum-squares-slot, 296, 12, 162, 1, 0, 471, 0.666626
sum-squares-slot, 299, 12, 161, 1, 0, 473, 0.666626
sum-squares-slot, 297, 12, 159, 1, 0, 469, 0.666626
sum-squares-slot, 300, 12, 161, 1, 0, 474, 0.666626
sum-squares-slot, 306, 12, 165, 1, 0, 484, 0.666626
sum-squares-slot, 305, 12, 165, 1, 0, 483, 0.666626
sum-squares-slot, 299, 12, 159, 1, 0, 471, 0.666626
sum-squares-slot, 307, 12, 162, 1, 0, 482, 0.666626
sum-squares-slot, 302, 12, 163, 1, 0, 478, 0.666626
sum-squares-slot, 293, 12, 158, 1, 0, 464, 0.666626
sum-squares-slot, 293, 12, 162, 1, 0, 468, 0.666626
sum-squares-slot, 304, 15, 161, 1, 0, 481, 0.666626
sum-squares-slot, 301, 11, 164, 1, 0, 477, 0.666626
sum-squares-slot, 296, 11, 165, 1, 0, 473, 0.666626
sum-squares-slot, 295, 12, 162, 1, 0, 470, 0.666626
sum-squares-slot, 299, 12, 171, 1, 0, 483, 0.666626
sum-squares-slot, 294, 12, 159, 1, 0, 466, 0.666626
sum-squares-slot, 306, 12, 161, 1, 0, 480, 0.666626
sum-squares-slot, 296, 12, 158, 1, 0, 467, 0.666626
sum-squares-slot, 299, 12, 176, 1, 0, 488, 0.666626
sum-squares-slot, 307, 12, 165, 1, 0, 485, 0.666626
sum-squares-slot, 304, 12, 164, 1, 0, 481, 0.666626
sum-squares-slot, 306, 12, 170, 1, 0, 489, 0.666626
sum-squares-slot, 299, 12, 164, 1, 0, 476, 0.666626
sum-squares-slot, 304, 11, 159, 1, 0, 475, 0.666626
sum-squares-slot, 307, 12, 170, 1, 0, 490, 0.666626
sum-squares-slot, 302, 12, 171, 1, 0, 486, 0.666626
sum-squares-slot, 298, 11, 161, 1, 0, 471, 0.666626
sum-squares-slot, 298, 12, 162, 1, 0, 473, 0.666626
sum-squares-slot, 311, 12, 162, 1, 0, 486, 0.666626
sum-squares-slot, 299, 12, 164, 1, 0, 476, 0.666626
sum-squares-slot, 296, 12, 160, 1, 0, 469, 0.666626
sum-squares-slot, 290, 12, 161, 1, 0, 464, 0.666626
sum-squares-slot, 301, 12, 161, 1, 0, 475, 0.666626
sum-squares-slot, 304, 12, 162, 1, 0, 479, 0.666626
sum-squares-slot, 306, 12, 159, 1, 0, 478, 0.666626
sum-squares-slot, 304, 14, 164, 1, 0, 483, 0.666626
sum-squares-slot, 296, 12, 161, 1, 0, 470, 0.666626
sum-squares-slot, 294, 12, 162, 1, 0, 469, 0.666626
sum-squares-slot, 306, 12, 161, 1, 0, 480, 0.666626
sum-squares-slot, 297, 12, 161, 1, 0, 471, 0.666626
sum-squares-slot, 298, 12, 163, 1, 0, 474, 0.666626
sum-squares-slot, 292, 11, 157, 1, 0, 461, 0.666626
sum-squares-slot, 298, 12, 167, 1, 0, 478, 0.666626
sum-squares-slot, 302, 12, 160, 1, 0, 475, 0.666626
sum-squares-slot, 293, 12, 164, 1, 0, 470, 0.666626
sum-squares-slot, 295, 12, 163, 1, 0, 471, 0.666626
sum-squares-slot, 294, 12, 168, 1, 0, 475, 0.666626
sum-squares-slot, 295, 12, 164, 1, 0, 472, 0.666626
sum-squares-slot, 297, 12, 164, 1, 0, 474, 0.666626
sum-squares-slot, 301, 12, 166, 1, 0, 480, 0.666626
sum-squares-slot, 312, 12, 172, 1, 0, 497, 0.666626
sum-squares-slot, 299, 12, 159, 1, 0, 471, 0.666626
sum-squares-slot, 302, 12, 160, 1, 0, 475, 0.666626
sum-squares-slot, 302, 12, 161, 1, 0, 476, 0.666626
sum-squares-slot, 296, 13, 164, 1, 0, 474, 0.666626
sum-squares-slot, 299, 12, 163, 1, 0, 475, 0.666626
sum-squares-slot, 302, 12, 163, 1, 0, 478, 0.666626
sum-squares-slot, 295, 12, 162, 1, 0, 470, 0.666626
sum-squares-slot, 301, 12, 158, 1, 0, 472, 0.666626
sum-squares-slot, 302, 12, 162, 1, 0, 477, 0.666626
sum-squares-slot, 297, 12, 166, 1, 0, 476, 0.666626
sum-squares-slot, 308, 12, 166, 1, 0, 487, 0.666626
sum-squares-slot, 297, 12, 162, 1, 0, 472, 0.666626
sum-squares-slot, 303, 12, 162, 1, 0, 478, 0.666626
sum-squares-slot, 294, 12, 162, 1, 0, 469, 0.666626
sum-squares-slot, 302, 12, 163, 1, 0, 478, 0.666626
sum-squares-slot, 305, 12, 161, 1, 0, 479, 0.666626
sum-squares-slot, 296, 11, 157, 1, 0, 465, 0.666626
sum-squares-slot, 296, 12, 164, 1, 0, 473, 0.666626
sum-squares-slot, 308, 12, 165, 1, 0, 486, 0.666626
sum-squares-slot, 296, 12, 161, 1, 0, 470, 0.666626
sum-squares-slot, 298, 12, 162, 1, 0, 473, 0.666626
sum-squares-slot, 294, 11, 160, 1, 0, 466, 0.666626
sum-squares-slot, 300, 12, 159, 1, 0, 472, 0.666626
sum-squares-slot, 298, 12, 161, 1, 0, 472, 0.666626
sum-squares-slot, 296, 12, 163, 1, 0, 472, 0.666626
sum-squares-slot, 304, 12, 162, 1, 0, 479, 0.666626
sum-squares-slot, 298, 12, 160, 1, 0, 471, 0.666626
sum-squares-slot, 306, 12, 165, 1, 0, 484, 0.666626
sum-squares-slot, 293, 12, 171, 1, 0, 477, 0.666626
sum-squares-slot, 301, 12, 158, 1, 0, 472, 0.666626
sum-squares-slot, 306, 12, 166, 1, 0, 485, 0.666626
sum-squares-slot, 300, 12, 167, 1, 0, 480, 0.666626
sum-squares-slot, 303, 12, 161, 1, 0, 477, 0.666626
sum-squares-slot, 305, 12, 165, 1, 0, 483, 0.666626
sum-squares-slot, 301, 12, 162, 1, 0, 476, 0.666626
sum-squares-slot, 302, 12, 168, 1, 0, 483, 0.666626
sum-squares-slot, 297, 12, 159, 1, 0, 469, 0.666626
sum-squares-slot, 299, 12, 161, 1, 0, 473, 0.666626
sum-squares-slot, 304, 12, 162, 1, 0, 479, 0.666626
sum-squares-slot, 296, 12, 162, 1, 0, 471, 0.666626
sum-squares-slot, 307, 12, 159, 1, 0, 479, 0.666626
